,AWARD TITLE,PROPOSAL NO,PROPOSAL TYPE,PRIME ACCOUNT,AWARD NO,AWARD AMOUNT,AWARD PROJECT PI PID,AWARD PROJECT PI,AWARD PI,SPONSOR,SPONSOR TYPE,SPONSOR CODE,ARRA FUNDING,OTHER PERSONNEL,AWARD ADMIN DEPT NO,AWARD ADMIN DEPT,AWARD ADMIN SCHOOL,AWARD PROJECT PI DEPT NO,AWARD PROJECT PI DEPT,AWARD PI HOME DEPT NO,AWARD PI HOME DEPT,AWARD PI HOME SCHOOL,OFFICIAL REPORT DATE,REPORT MONTH,FISCAL YEAR,PROJECT BEGIN DATE,PROJECT END DATE,AWARD MECHANISM,AWARD TYPE,CHESS CODE,PRIME SPONSOR CODE,PRIME SPONSOR,PAYMENT BASIS,PAYMENT METHOD,INVOICE FREQUENCY,Determined Dept,Determined College,SPONSOR AWARD NO,F&A ACTIVITY TYPE,CFDA NO,FINAL REPORT DUE DATE,PROGRAM DESIGNATION,AWARD NOTICE RECEIVED,PASS THRU AGENCY
1839,Volunteer Workforce Solutions for North Carolina Phase I,18-0828,New,530717,A18-0254-001,100000,800005227,"Kimble, Jeffrey","Kimble, Jeffrey",International Association of Fire Chiefs (IAFC),Association,6770,No,,['rec4TpIktgPEmUkKK'],Engineering Technology and Construction Management,College of Engineering,21800,Engineering Technology and Construction Management,21800,Engineering Technology and Construction Management,College of Engineering,7/2/2018,7,2019,2018-06-19,2019-12-07,New,(20 - 25) Contract,01 - Research & Development (R&D),5447,Federal Emergency Management Agency (FEMA),,,,Engineering Tech & Constr Mgmt,ENG,Agreement dated 7/2/2018,OR - Organized Research (110),97.083,,,,
1867,Field-Scale Testing of Hydrology of Water Balance Covers,18-0028,Supplement,560048,A14-0132-005,58011,800799381,"Khire, Milind","Khire, Milind","Waste Management, Inc.",Business and Industry,10647,No,,['recuZZ7yEPgD0RdZe'],Civil and Environmental Engineering,College of Engineering,22200,Civil and Environmental Engineering,22200,Civil and Environmental Engineering,College of Engineering,8/3/2017,8,2018,2013-12-02,2020-12-15,Supplement,(20 - 25) Contract,06 - Other,,,,,,Civil and Environmental Engr,ENG,2975-2014-0360 MOD5,OR - Organized Research (110),0,,,,
4014,Evaluation of Existing and Feasibility Study of New Computational Approaches for Integrating Metabolomics Data with Other Types of -omics Data,18-0024,New,530636,A18-0119-001,25000,800584345,"Du, Xiuxia","Du, Xiuxia",University of North Carolina at Chapel Hill (UNC-CH),Educational and Research Institutions,12976,No,"Smirnov, Aleksandr",['rec5Sk9WD9a1s4mCr'],Bioinformatics and Genomics,College of Computing and Informatics,23270,Bioinformatics and Genomics,23270,Bioinformatics and Genomics,College of Computing and Informatics,12/8/2017,12,2018,2017-09-01,2019-08-31,New,Incoming_Sub,01 - Research & Development (R&D),5332,National Institutes of Health (NIH),,,,BIG,CCI,5108552,OR - Organized Research (110),93.847,,,,
199,"Materials Characterization Laboratory Services - Master Agreement with Momentive UV Coatings (Shanghai) Co., Ltd.",15-0901,New,Weaver lab 138010,A15-0310-004,38,800007279,"Weaver, Katherine","Weaver, Katherine","Momentive UV Coatings Shanghai Co., Ltd.",Business and Industry,25370,No,,['rechx0G6DDzq9e11j'],Energy Production and Infrastructure Center,College of Engineering,22150,Energy Production and Infrastructure Center,22000,Mechanical Engineering and Engineering Science,College of Engineering,12/6/2016,12,2017,2015-06-22,2016-12-07,Supplement,(20 - 25) Contract,06 - Other,,,,,,EPIC,ENG,Task Order 004,OS - Other Sponsored Activities (401),0,,,,
1320,Collaborative Research: Supporting Agency among Early Career Engineering Education Faculty in Diverse Institutional Contexts,17-0135,New,530511,A17-0157-001,73581,800924122,"Smith-orr, Courtney","Smith-orr, Courtney",National Science Foundation (NSF),Federal,5738,No,,['recFIJWzoCvufHhxn'],Electrical and Computer Engineering,College of Engineering,21900,Electrical and Computer Engineering,21900,Electrical and Computer Engineering,College of Engineering,2/7/2017,2,2017,2017-06-01,2020-05-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Electrical & Computer Engineering,ENG,1663909,OR - Organized Research (110),47.041,,,,
2373,Dangerous Intersections Study,17-0253,New,560427,A17-0110-001,8000,800557003,"Simmons, Laura","Simmons, Laura",AAA Foundation for Traffic Safety,Foundation,13073,No,"Szczepaniak, Zachary",['recimIrxMBCwOgyI1'],Urban Institute (Dpt),Metropolitan Studies,26400,Urban Institute,26400,Urban Institute,Metropolitan Studies,12/5/2016,12,2017,2016-10-01,2017-06-30,New,(20 - 25) Contract,03 - Public Service,,,,,,Urban Institute,Academic Affairs,Letter Dated 11/22/2016,PS - Public Service (401),0,,,,
3777,Tailoring Mg-alloy System through Composition/Microstructure/Severe Plastic Deformation for Army Extreme Dynamic Environment Applications,17-0194,,530515,A17-0178-007,9651,800367744,"Wei, Qiuming","Wei, Qiuming",Johns Hopkins University,Educational and Research Institutions,12050,No,,['recr5XMwntc2PfxCf'],Mechanical Engineering and Engineering Science,College of Engineering,,,22000,Mechanical Engineering and Engineering Science,College of Engineering,9/23/2019,9,2020,2016-11-10,2019-12-31,,(20 - 25) Contract,01 - Research & Development (R&D),19286,DOD DA Army Research Laboratory (ARL),,,,Mech Engineering & Engineering Sci,ENG,2003292859 MOD7,OR - Organized Research (110),12.63,,,,
3413,Mechanism of APE1 in DNA damage response,17-0749,New,530651,A18-0174-001,341830,800720135,"Yan, Shan","Yan, Shan",National Institutes of Health (NIH),Federal,5332,No,"Richardson, Christine; Mukherjee, Pinku; Lin, Yunfeng;",['reczYCftV7YK7l9FJ'],Biological Sciences,College of Liberal Arts and Sciences,17200,Biological Sciences,17200,Biological Sciences,College of Liberal Arts and Sciences,2/13/2018,2,2018,2018-02-13,2023-01-31,New,(10 - 15) Grant,01 - Research & Development (R&D),,,,,,Biological Sciences,CLAS,1R01CA225637-01,OR - Organized Research (110),93.393,,,,
761,Career Enhancement Fellowships for Junior Faculty,18-0325,New,Direct Award_Pitts 18-0325 (CLAS),A19-0007-002,750,800897402,"Pitts, Andrea","Pitts, Andrea",Woodrow Wilson National Fellowship Foundation,Foundation,14409,No,,['rec2Iygs03J8wud8R'],Philosophy,College of Liberal Arts and Sciences,18600,Philosophy,18600,Philosophy,College of Liberal Arts and Sciences,4/30/2018,4,2018,2018-06-01,2018-12-31,New,Fellowship,01 - Research & Development (R&D),,,,,,Philosophy,CLAS,Direct Award Dated 02/01/2018,OR - Organized Research (110),0,,,,
1001,Field of Revolution: Agrarian Reform and Rural State Formation in Bolivia 1935-1970,15-0206,New,2015-0206,A15-0332-001,6000,800876851,"Soliz urrutia, Maria","Soliz urrutia, Maria",National Endowment for the Humanities (NEH),Federal,5767,No,,['rec4TT9XCl21ikJvw'],History,College of Liberal Arts and Sciences,18300,History,18300,History,College of Liberal Arts and Sciences,12/18/2015,12,2016,2015-05-15,2015-08-15,New,Other - Choose,01 - Research & Development (R&D),,,,,,History,CLAS,DIRECT 2015-0206,OS - Other Sponsored Activities (401),0,,,,
